timestamp,face_x,face_y,face_w,face_h,face_dist,lp_x,lp_y,lp_size,rp_x,rp_y,rp_size,gaze_x,gaze_y
1759314490.0295348,223,276,206,212,2557.999245472062,192,249,8.159486885429377,276,237,10.249296661805335,1238,1308
1759314490.2656114,305,243,186,205,2789.115260948434,281,203,7.798824435052031,346,214,8.54572353962176,1682,965
1759314490.332671,306,241,191,209,2800.833129365258,277,206,5.463580716853525,345,219,9.519987758577257,1561,1288
1759314490.4021924,307,242,194,209,2812.4221210234755,279,208,9.73088109891415,357,220,9.20733998796941,1578,1362
1759314490.4827247,308,244,191,210,2810.021524639028,281,207,9.537675260942661,342,217,9.117538238130097,1659,1231
1759314490.5513575,308,243,190,210,2805.120090807334,282,205,8.23087940901031,346,218,8.896354889132706,1728,1097
1759314490.6168005,308,243,191,210,2759.7235051598236,281,206,10.334877775349987,349,214,8.940245599748872,1431,1475
1759314490.68932,306,244,190,205,2773.83099468906,273,205,9.865332671274839,343,212,8.270543511261202,1639,1004
1759314490.7519896,307,243,192,207,2775.6940498582735,272,205,8.420044509503503,343,212,8.879818928888062,815,1667
1759314490.816398,302,245,190,204,2746.1564570513633,273,204,8.34986942353747,340,211,7.68226102170737,1721,913
1759314490.8830533,304,245,188,202,2804.792342208249,273,205,8.687517688786794,339,211,8.6108688053156,257,1795
1759314490.9490747,300,244,189,204,2770.1637466846464,271,205,10.565337680231885,340,208,8.059607477288017,1150,1509
1759314491.028694,300,243,190,208,2768.4278198075854,271,205,10.17988580713876,340,208,9.782528841724659,1064,1492
1759314491.0907679,298,243,190,205,2761.5543528074472,269,204,10.603912806205507,339,208,9.282594049312916,1244,1350
1759314491.1602712,299,244,188,204,2794.5907440202313,269,204,10.235626145876594,339,210,8.622850901836047,1481,1152
1759314491.2240057,296,242,193,207,2767.958554239168,267,205,8.942813003379781,336,209,8.132513240987121,1250,1263
1759314491.2902744,294,242,192,206,2766.560593983602,260,204,9.615804039043526,335,206,9.850706486681906,1114,1537
1759314491.3599389,296,241,191,207,2783.675155225957,259,205,10.153849189185738,336,206,9.876939285061884,305,1894
